id,host_id,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,review_scores_rating,instant_bookable,super_host
44020778,49474412,8.0,1,1,Nakano Ku,35.699,139.67487,Entire home/apt,8,1.5 baths,2.0,4.0,5680.0,7,94.0,1,0
44021105,63345781,69.0,1,1,Minato Ku,35.65484,139.74335,Entire home/apt,3,1 bath,,2.0,10580.0,4,100.0,1,1
44022148,351743838,2.0,1,0,Higashimurayama Shi,35.7486,139.47319,Private room,1,1 private bath,1.0,1.0,6024.0,0,,1,0
44022735,351743838,2.0,1,0,Higashimurayama Shi,35.74854,139.47319,Private room,2,1 private bath,1.0,2.0,9074.0,1,100.0,1,0
44023924,150347035,19.0,1,1,Taito Ku,35.71438,139.79275,Entire home/apt,2,Half-bath,1.0,2.0,4501.0,2,100.0,1,1
44024061,158173287,10.0,1,1,Shinjuku Ku,35.69883,139.70589,Entire home/apt,3,1 bath,1.0,1.0,3900.0,0,,1,1
44024205,158173287,10.0,1,1,Shinjuku Ku,35.69733,139.7076,Entire home/apt,3,1 bath,1.0,1.0,10000.0,1,80.0,1,1
44036204,352972272,0.0,1,1,Setagaya Ku,35.65129,139.63837,Entire home/apt,6,1 bath,2.0,3.0,9357.0,15,99.0,1,1
44065550,347507081,6.0,1,1,Katsushika Ku,35.7432,139.86098,Entire home/apt,2,1.5 baths,,2.0,6500.0,3,100.0,1,0
44065770,347507081,6.0,1,1,Katsushika Ku,35.74386,139.86104,Entire home/apt,2,1.5 baths,,1.0,6500.0,1,80.0,1,0
44065798,131748110,23.0,1,1,Setagaya Ku,35.63271,139.65105,Entire home/apt,16,10 baths,10.0,10.0,38857.0,0,,1,0
44081580,349117832,1.0,1,0,Arakawa Ku,35.7486,139.78536,Entire home/apt,3,1 bath,1.0,1.0,4240.0,1,100.0,1,0
44088652,305034163,0.0,1,1,Shinjuku Ku,35.70046,139.70577,Entire home/apt,3,1 bath,1.0,0.0,3243.0,7,77.0,1,0
44090318,353865286,0.0,1,1,Shibuya Ku,35.65698,139.7069,Entire home/apt,2,1 bath,1.0,1.0,3400.0,8,93.0,1,0
44090439,353009879,1.0,1,1,Shinjuku Ku,35.68956,139.71132,Private room,4,1 private bath,1.0,4.0,16100.0,3,100.0,1,1
44090920,353009879,1.0,1,1,Shinjuku Ku,35.69066,139.71176,Private room,4,1 shared bath,1.0,4.0,16100.0,1,100.0,1,1
44091472,353889329,0.0,1,1,Shibuya Ku,35.65621,139.70558,Entire home/apt,2,1 bath,1.0,1.0,4129.0,11,89.0,1,0
44092093,353900931,1.0,1,1,Shibuya Ku,35.65554,139.70702,Entire home/apt,4,1 bath,1.0,2.0,3825.0,6,100.0,1,0
44105089,349704049,2.0,1,1,Sumida Ku,35.7052,139.81574,Private room,8,1 shared bath,2.0,4.0,20714.0,46,97.0,1,1
